iter	Passed	Remaining
193	498	2071
194	501	2068
195	504	2067
196	507	2067
197	509	2065
198	512	2061
199	514	2058
200	516	2053
201	518	2050
202	521	2047
203	524	2044
204	526	2041
205	528	2036
206	530	2032
207	532	2028
208	535	2026
209	537	2023
210	540	2021
211	542	2017
212	544	2013
213	547	2011
214	551	2012
215	553	2010
216	556	2007
217	558	2003
218	560	2000
219	564	1999
220	566	1997
221	569	1994
222	571	1990
223	572	1984
224	574	1979
225	576	1973
226	578	1969
227	580	1964
228	582	1960
229	583	1954
230	585	1949
231	587	1944
232	588	1938
233	590	1933
234	592	1928
235	594	1923
236	596	1919
237	598	1915
238	600	1911
239	602	1907
240	604	1903
241	607	1901
242	610	1900
243	612	1896
244	614	1894
245	616	1889
246	619	1887
247	621	1883
248	623	1881
249	625	1877
250	627	1872
251	628	1866
252	630	1861
253	631	1855
254	632	1849
255	634	1843
256	635	1837
257	637	1834
258	640	1831
259	641	1826
260	643	1820
261	644	1815
262	645	1809
263	646	1803
264	647	1797
265	649	1791
266	650	1786
267	652	1782
268	653	1776
269	655	1771
270	656	1765
271	657	1760
272	658	1754
273	660	1748
274	661	1743
275	662	1737
276	663	1732
277	665	1727
278	666	1723
279	667	1717
280	669	1712
281	670	1706
282	671	1701
283	672	1696
284	674	1690
285	675	1685
286	676	1680
287	677	1674
288	678	1670
289	680	1665
290	681	1660
291	683	1657
292	684	1652
293	686	1647
294	687	1642
295	688	1637
296	689	1632
297	690	1627
298	692	1623
299	693	1618
300	694	1613
301	696	1610
302	698	1606
303	699	1601
304	700	1596
305	702	1592
306	703	1587
307	704	1582
308	705	1577
309	707	1574
310	708	1569
311	709	1564
312	711	1561
313	712	1557
314	714	1553
315	715	1549
316	717	1544
317	718	1540
318	719	1535
319	720	1532
320	722	1527
321	723	1523
322	724	1518
323	726	1515
324	728	1512
325	729	1508
326	731	1504
327	732	1500
328	733	1496
329	735	1492
330	736	1488
331	737	1483
332	738	1479
333	739	1474
334	741	1471
335	742	1467
336	744	1463
337	745	1459
338	746	1455
339	747	1451
340	749	1447
341	750	1444
342	752	1441
343	753	1437
344	756	1435
345	757	1432
346	758	1428
347	760	1424
348	761	1420
349	763	1417
350	764	1413
351	765	1409
352	767	1405
353	768	1401
354	769	1397
355	771	1394
356	772	1391
357	773	1387
358	775	1384
359	776	1380
360	778	1377
361	779	1373
362	780	1369
363	781	1365
364	782	1361
365	784	1358
366	785	1355
367	787	1352
368	789	1349
369	790	1345
370	792	1343
371	793	1339
372	794	1336
373	796	1332
374	797	1328
375	798	1325
376	799	1321
377	801	1318
378	802	1315
379	804	1312
380	806	1309
381	807	1306
382	808	1302
383	809	1299
384	810	1295
385	812	1291
386	813	1288
387	814	1284
388	816	1281
389	817	1278
390	818	1275
391	820	1272
392	821	1268
393	822	1265
394	823	1261
395	824	1258
396	826	1254
397	827	1251
398	828	1247
399	830	1245
400	831	1242
401	833	1240
402	835	1237
403	836	1233
404	837	1230
405	838	1227
406	839	1223
407	840	1220
408	842	1216
409	843	1213
410	844	1210
411	846	1208
412	848	1205
413	849	1202
414	851	1199
415	852	1196
416	853	1193
417	854	1190
418	856	1187
419	857	1183
420	858	1180
421	861	1179
422	862	1176
423	863	1173
424	865	1170
425	866	1167
426	867	1164
427	868	1161
428	870	1158
429	871	1154
430	872	1151
431	874	1149
432	876	1147
433	877	1144
434	878	1141
435	879	1138
436	880	1134
437	882	1131
438	883	1128
439	884	1125
440	885	1122
441	886	1119
442	904	1137
443	905	1134
444	907	1131
445	908	1128
446	910	1125
447	911	1122
448	912	1119
449	913	1116
450	914	1113
451	915	1110
452	917	1107
453	918	1104
454	920	1102
